Feature,Importance
sp_defense,0.32905435325275156
hp,0.2628212472175837
attack,0.15141689933680827
defense,0.09955868841880919
sp_attack,0.08608741757064985
speed,0.05850427980285417
type_dragon,0.0016056713194004138
type_steel,0.001110237435944834
type_flying,0.0010856756674510052
type_normal,0.0010341786376238402
type_ice,0.0009782388716721036
type_rock,0.0008387823647325002
type_psychic,0.0007837497423686756
type_bug,0.0006667080096700023
type_electric,0.0006217525937576685
type_ghost,0.0005735279438962742
type_grass,0.0005444774941376982
type_fire,0.00046362270680739496
type_water,0.0004316003281832472
type_fighting,0.00039521138071269414
type_ground,0.0003937508481610067
type_fairy,0.0003936308019201416
type_dark,0.0003519482129421946
type_poison,0.0002843500411616631
